loading telemetry 2026-04-11 .. 2026-08-31 ...
1682125 relay edges, 195295 telemetry minutes
221 idle windows >= 60 min

window start (UTC)      hours       Q     R2  grad0  grad1   pts
2026-08-10 16:07         1.83   0.332  0.031   2.58   2.10   100
2026-08-10 20:25         1.27   2.463  0.760   1.51   0.96    67
2026-08-11 18:05         1.64   1.163  0.472   2.70   1.99    89
2026-08-11 20:26        18.48   2.798  0.327   1.69   0.83  1100
2026-08-12 18:28         1.67   2.350  0.790   2.23   1.04    91
2026-08-12 21:21        16.54  -0.363  0.007   0.74   0.92   983
2026-08-13 19:03        17.51  -0.231  0.010   1.19   0.82  1042
2026-08-14 20:00         1.57   2.654  0.895   2.85   0.96    85
2026-08-15 08:08       103.65  -0.617  0.070   0.20   3.18  6210
2026-08-19 19:32        37.55   0.749  0.072   3.09   0.27  2244
2026-08-21 18:02         1.20   1.868  0.713   2.03   1.90    63
2026-08-21 20:09        15.94   1.864  0.362   2.32   0.62   933
2026-08-22 20:53         1.67   2.159  0.880   2.89   1.63    80
2026-08-23 04:34         8.27   0.987  0.176   1.62   1.02   487
2026-08-23 19:41         1.03   2.251  0.820   2.21   1.59    52
2026-08-23 21:45         2.14   1.407  0.857   1.32   0.59   119
2026-08-24 01:36         3.41   1.078  0.382   0.77   0.48   196
2026-08-24 09:14         1.04   1.130  0.523   0.53   0.37    53
2026-08-24 20:10         1.23   2.460  0.960   1.83   1.09    64
2026-08-24 22:14         7.30   2.388  0.764   0.87   0.33   429
2026-08-26 20:29        41.74  -0.349  0.015   1.33   1.03  2495
2026-08-28 17:29         1.16   1.693  0.979   5.93   4.03    60
2026-08-28 20:45         9.85   4.458  0.559   2.77   0.16   582
2026-08-29 07:15         1.36   1.216  0.132   0.59   0.36    72
2026-08-29 09:07         3.76   3.270  0.180   0.66   0.02   217
2026-08-29 17:22         1.26   1.806  0.816   8.33   5.59    66
2026-08-29 19:20         1.15   1.226  0.689   5.62   3.36    60
2026-08-29 21:00         3.65   2.804  0.891   3.14   0.84   210

ALL windows (includes ones the model does not describe): 192 windows, 2032.9 idle hours
  Q median 0.839   range -9.636 .. 4.674   vs shipped 0.9634 (0.87x)
  implied tau = V/Q 6.86 h

WELL-FIT windows (R2 >= 0.7): 52 windows, 120.2 idle hours
  Q median 1.899   range -1.448 .. 3.622   vs shipped 0.9634 (1.97x)
  implied tau = V/Q 3.03 h

POORLY-FIT windows (R2 < 0.7): 140 windows, 1912.7 idle hours
  Q median 0.520   range -9.636 .. 4.674   vs shipped 0.9634 (0.54x)
  implied tau = V/Q 11.07 h

  46 of 192 windows GAINED gradient while idle (chamber got wetter with the humidifier off -- not a decay at all)
  well-fit window length: median 1.70 h, max 14.50 h
  poorly-fit window length: median 5.32 h, max 118.62 h

192 windows fitted, 2032.9 idle hours total
  Q median            0.839 m3/h
  Q duration-weighted 0.455 m3/h
  Q range             -9.636 .. 4.674
  shipped Q           0.9634  -> median is 0.87x
  implied tau = V/Q   6.86 h (shipped 5.98 h)

rejected windows:
    23  gradient never exceeds 0.5
     1  too few clean derivative points (0)
     1  too few usable minutes (1)
     1  too few usable minutes (2)
     1  too few usable minutes (5)
     1  too few usable minutes (16)
     1  past ambient coverage
